data_recolha,finalidade,montante_eur,prazo_meses,prestacao_mensal_eur,taeg_pct,tan_pct,mtic_eur
2026-09-04,Eficiência Energética,10000.0,84,155.91,8.9,7.7,13272.44
2026-09-04,Eficiência Energética,15000.0,54,329.9,8.9,7.45,18078.6
2026-09-04,Eficiência Energética,15000.0,60,302.72,8.9,7.5,18427.2
2026-09-04,Eficiência Energética,15000.0,66,280.61,8.9,7.55,18784.26
2026-09-04,Eficiência Energética,15000.0,72,262.3,8.9,7.6,19149.6
2026-09-04,Eficiência Energética,15000.0,78,246.93,8.9,7.65,19524.54
2026-09-04,Eficiência Energética,15000.0,84,233.86,8.9,7.7,19908.24
2026-09-04,Eficiência Energética,20000.0,54,439.87,8.9,7.45,24104.98
2026-09-04,Eficiência Energética,20000.0,60,403.62,8.9,7.5,24569.2
2026-09-04,Eficiência Energética,20000.0,66,374.14,8.9,7.55,25045.24
2026-09-04,Eficiência Energética,20000.0,72,349.73,8.9,7.6,25532.56
2026-09-04,Eficiência Energética,20000.0,78,329.23,8.9,7.65,26031.94
2026-09-04,Eficiência Energética,20000.0,84,311.81,8.9,7.7,26544.04
2026-09-04,Eficiência Energética,25000.0,54,549.83,8.9,7.45,30130.82
2026-09-04,Eficiência Energética,25000.0,60,504.53,8.9,7.5,30711.8
2026-09-04,Eficiência Energética,25000.0,66,467.67,8.9,7.55,31306.22
2026-09-04,Eficiência Energética,25000.0,72,437.17,8.9,7.6,31916.24
2026-09-04,Eficiência Energética,25000.0,78,411.54,8.9,7.65,32540.12
2026-09-04,Eficiência Energética,25000.0,84,389.76,8.9,7.7,33179.84
2026-09-04,Eficiência Energética,30000.0,54,659.8,8.9,7.45,36157.2
2026-09-04,Eficiência Energética,30000.0,60,605.43,8.9,7.5,36853.8
2026-09-04,Eficiência Energética,30000.0,66,561.21,8.9,7.55,37567.86
2026-09-04,Eficiência Energética,30000.0,72,524.6,8.9,7.6,38299.2
2026-09-04,Eficiência Energética,30000.0,78,493.85,8.9,7.65,39048.3
2026-09-04,Eficiência Energética,30000.0,84,467.71,8.9,7.7,39815.64
2026-09-04,Eficiência Energética,35000.0,54,769.77,8.9,7.45,42183.58
2026-09-04,Eficiência Energética,35000.0,60,706.33,8.9,7.5,42995.8
2026-09-04,Eficiência Energética,35000.0,66,654.74,8.9,7.55,43828.84
2026-09-04,Eficiência Energética,35000.0,72,612.03,8.9,7.6,44682.16
2026-09-04,Eficiência Energética,35000.0,78,576.16,8.9,7.65,45556.48
2026-09-04,Eficiência Energética,35000.0,84,545.66,8.9,7.7,46451.44
2026-09-04,Eficiência Energética,40000.0,54,879.73,8.9,7.45,48209.42
2026-09-04,Eficiência Energética,40000.0,60,807.24,8.9,7.5,49138.4
2026-09-04,Eficiência Energética,40000.0,66,748.27,8.9,7.55,50089.82
2026-09-04,Eficiência Energética,40000.0,72,699.46,8.9,7.6,51065.12
2026-09-04,Eficiência Energética,40000.0,78,658.46,8.9,7.65,52063.88
2026-09-04,Eficiência Energética,40000.0,84,623.61,8.9,7.7,53087.24
2026-09-04,Eficiência Energética,45000.0,54,989.7,8.9,7.45,54235.8
2026-09-04,Eficiência Energética,45000.0,60,908.14,8.9,7.5,55280.4
2026-09-04,Eficiência Energética,45000.0,66,841.81,8.9,7.55,56351.46
2026-09-04,Eficiência Energética,45000.0,72,786.89,8.9,7.6,57448.08
2026-09-04,Eficiência Energética,45000.0,78,740.77,8.9,7.65,58572.06
2026-09-04,Eficiência Energética,45000.0,84,701.56,8.9,7.7,59723.04
2026-09-04,Eficiência Energética,50000.0,54,1099.66,8.9,7.45,60261.64
2026-09-04,Eficiência Energética,50000.0,60,1009.05,8.9,7.5,61423.0
2026-09-04,Eficiência Energética,50000.0,66,935.34,8.9,7.55,62612.44
2026-09-04,Eficiência Energética,50000.0,72,874.33,8.9,7.6,63831.76
2026-09-04,Eficiência Energética,50000.0,78,823.08,8.9,7.65,65080.24
2026-09-04,Eficiência Energética,50000.0,84,779.52,8.9,7.7,66359.68
